Place Name,State/Region,Type of Place,Suitable Season(s),Budget (INR),Mid-range (INR),Luxury (INR),Recommended for
Amer Fort,Rajasthan,"Heritage (Fort)","Winter, Autumn",1150,3000,8200,"Family, Couple"
Mehrangarh Fort,Rajasthan,"Heritage (Fort)","Winter, Autumn",1100,2900,8000,"Family, Couple"
Jaisalmer Fort,Rajasthan,"Heritage (Fort)",Winter,800,2400,6000,"Friends, Family"
Golconda Fort,Telangana,"Heritage (Fort)",Winter,900,2500,6800,"Friends, Family"
Sanchi Stupa,Madhya Pradesh,"Heritage (Buddhist)","Winter, Post-monsoon",800,2300,6000,"Family, Friends"
Brihadeeswarar Temple,Tamil Nadu,"Heritage (Temple)",Winter,950,2600,6500,"Family, Couple"
Rani-ki-Vav,Gujarat,"Heritage (Stepwell)",Winter,850,2200,5800,"Couple, Friends"
Varanasi (Ganges Ghats),Uttar Pradesh,Religious,All year,800,2000,5000,"Family, Couple"
Haridwar,Uttarakhand,Religious,All year,900,2500,6200,"Family, Couple"
Amritsar (Golden Temple),Punjab,Religious,All year,850,2400,5800,"Family, Couple"
Vaishno Devi,Jammu & Kashmir,Religious,"Summer, Autumn",950,2800,7000,"Family"
Kedarnath,Uttarakhand,Religious,Summer,1100,3000,8200,"Family, Friends"
Badrinath,Uttarakhand,Religious,Summer,800,2300,6000,"Family"
Puri (Jagannath Temple),Odisha,Religious,All year,900,2600,6600,"Family"
Dwarka,Gujarat,Religious,Winter,850,2500,6200,"Family"
Somnath,Gujarat,Religious,Winter,800,2400,6000,"Family"
Mount Abu,Rajasthan,Hill Station,"Summer, Winter",1100,2800,7200,"Family, Couple"
Lonavala,Maharashtra,Hill Station,"Monsoon, Winter",950,2500,6300,"Family, Friends, Couple"
Khandala,Maharashtra,Hill Station,"Monsoon, Winter",1000,2650,6500,"Family, Friends, Couple"
Igatpuri,Maharashtra,Hill Station,"Monsoon, Winter",880,2400,6000,"Friends, Couple"
Gangtok,Sikkim,Hill Station,"Summer, Autumn",1200,3100,7900,"Family, Couple, Friends"
Pelling,Sikkim,Hill Station,"Summer, Autumn",1150,3000,7800,"Family, Couple, Friends"
Kalimpong,West Bengal,Hill Station,"Summer, Winter",1000,2700,7500,"Family, Couple, Friends"
Mcleodganj,Himachal Pradesh,Hill Station,Summer,900,2500,6500,"Friends, Couple"
Spiti Valley,Himachal Pradesh,"Desert (Cold Desert)",Summer,1600,3800,9500,"Friends, Couple"
Ladakh (General),Jammu & Kashmir,"Desert (Cold Desert)",Summer,1500,3600,9200,"Friends, Couple"
Jodhpur,Rajasthan,Desert,Winter,1100,2800,7500,"Family, Couple"
Udaipur,Rajasthan,"Heritage (Lake City)",Winter,1300,3400,9000,"Family, Couple"
Pushkar,Rajasthan,Religious,Winter,900,2500,6300,"Family, Couple"
Ajmer (Dargah Sharif),Rajasthan,Religious,"Winter, Spring",950,2700,6700,"Family"
Bodh Gaya,Bihar,Religious,Winter,900,2600,6500,"Family, Couple"
Shirdi,Maharashtra,Religious,Winter,800,2300,6000,"Family, Friends"
Tirupati,Andhra Pradesh,Religious,Winter,850,2400,6300,"Family"
Kamakhya,Assam,Religious,Spring,800,2250,5700,"Family"
Ujjain (Mahakaleshwar),Madhya Pradesh,Religious,Winter,950,2700,6600,"Family"
Rameswaram,Tamil Nadu,Religious,Winter,850,2500,6000,"Couple, Family"
Mathura-Vrindavan,Uttar Pradesh,Religious,All year,900,2600,6500,"Family"
